,Angles
837,"[122.073, 116.878, 116.878, 102.345, 102.345, 84.785]"
840,"[149.598, 103.55, 103.55, 97.135, 97.135, 88.396]"
842,"[149.204, 103.073, 103.073, 98.245, 98.245, 88.871]"
843,"[113.191, 113.191, 113.048, 106.493, 106.487, 103.692]"
844,"[132.93, 123.066, 111.932, 108.047, 91.507, 82.507]"
845,"[135.39, 113.96, 108.252, 106.004, 102.504, 90.235]"
846,"[120.099, 115.018, 111.981, 104.774, 103.892, 97.279]"
847,"[124.897, 113.409, 111.389, 105.646, 102.774, 94.462]"
848,"[134.991, 122.806, 102.727, 97.759, 91.725, 49.171]"
849,"[126.335, 115.588, 110.115, 102.568, 101.21, 96.379]"
850,"[114.652, 114.305, 112.284, 108.524, 105.147, 100.428]"
851,"[126.82, 120.617, 110.879, 109.658, 95.774, 93.027]"
852,"[119.052, 117.426, 112.93, 110.885, 97.406, 95.687]"
854,"[118.294, 117.046, 114.589, 101.888, 101.455, 98.639]"
863,"[114.268, 114.268, 114.268, 114.268, 100.259, 100.259]"
865,"[113.991, 113.985, 113.985, 113.985, 100.778, 100.772]"
867,"[113.847, 113.847, 113.847, 113.847, 101.034, 101.029]"
869,"[113.91, 113.91, 113.91, 113.91, 100.918, 100.918]"
871,"[113.835, 113.828, 113.828, 113.828, 101.064, 101.064]"
873,"[118.705, 118.705, 107.734, 104.347, 104.064, 104.064]"
874,"[123.463, 109.184, 109.147, 106.792, 104.549, 103.215]"
875,"[123.463, 109.184, 109.147, 106.792, 104.549, 103.215]"
876,"[118.705, 118.705, 107.734, 104.347, 104.064, 104.064]"
879,"[118.503, 118.496, 106.081, 106.075, 104.235, 104.235]"
880,"[119.124, 113.522, 108.168, 108.162, 104.099, 104.099]"
881,"[119.124, 113.528, 108.162, 108.162, 104.099, 104.099]"
882,"[118.503, 118.496, 106.081, 106.075, 104.235, 104.235]"
883,"[118.993, 115.633, 109.889, 106.649, 105.123, 100.032]"
884,"[124.855, 117.368, 117.271, 106.523, 101.005, 90.12]"
885,"[135.914, 122.256, 100.492, 100.486, 100.393, 100.393]"
886,"[121.709, 111.82, 111.229, 108.24, 101.619, 99.428]"
887,"[148.627, 109.402, 104.418, 100.119, 98.47, 91.415]"
888,"[130.241, 124.869, 113.254, 99.015, 95.434, 87.042]"
897,"[117.277, 111.082, 111.082, 107.987, 104.276, 104.276]"
900,"[118.81, 118.81, 118.81, 118.81, 92.08, 92.08]"
901,"[112.371, 112.371, 108.041, 108.041, 108.041, 108.041]"
902,"[119.439, 110.5, 110.5, 110.359, 103.044, 103.044]"
903,"[118.81, 118.81, 118.81, 118.81, 92.08, 92.08]"
906,"[118.718, 118.712, 118.712, 118.712, 92.247, 92.241]"
907,"[112.439, 112.439, 108.011, 108.011, 108.011, 108.011]"
908,"[119.498, 110.469, 110.469, 110.426, 103.015, 103.009]"
909,"[118.718, 118.712, 118.712, 118.712, 92.247, 92.241]"
912,"[118.601, 118.601, 118.601, 118.594, 92.447, 92.447]"
913,"[112.451, 112.451, 107.999, 107.999, 107.999, 107.999]"
914,"[119.498, 110.463, 110.463, 110.457, 103.003, 103.003]"
915,"[118.601, 118.601, 118.601, 118.594, 92.447, 92.447]"
918,"[118.483, 118.483, 118.483, 118.483, 92.654, 92.654]"
919,"[112.464, 112.464, 107.999, 107.999, 107.999, 107.999]"
920,"[119.498, 110.469, 110.463, 110.463, 102.997, 102.997]"
