,Cif,Name,Site,CN,OS,Period,Group,SDofBV,Angles
226,150453.cif,La3+:2.862 Li1+:1.206 Na1+:1.908 O2-:18.000 Ti4+:6.000,Li1,4.0,1.0,2,1,0.061,"[180.0, 180.0, 90.315, 90.315, 89.691, 89.685]"
227,150454.cif,La3+:2.916 Li1+:1.206 Na1+:1.800 O2-:18.000 Ti4+:6.000,Li1,4.0,1.0,2,1,0.054,"[180.0, 180.0, 90.246, 90.241, 89.759, 89.754]"
228,150455.cif,La3+:3.150 Li1+:1.206 Na1+:1.116 O2-:18.000 Ti4+:6.000,Li1,4.0,1.0,2,1,0.043,"[180.0, 180.0, 90.166, 90.166, 89.834, 89.834]"
229,150456.cif,La3+:2.880 Li1+:1.206 Na1+:1.836 O2-:18.000 Ti4+:6.000,Li1,4.0,1.0,2,1,0.033,"[180.0, 180.0, 90.086, 90.086, 89.914, 89.914]"
230,150457.cif,La3+:2.862 Li1+:1.206 Na1+:1.872 O2-:18.000 Ti4+:6.000,Li1,4.0,1.0,2,1,0.012,"[180.0, 180.0, 90.046, 90.046, 89.954, 89.954]"
230,100499.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si1,4.0,4.0,3,4,0.011,"[113.929, 111.642, 111.358, 109.396, 105.522, 104.827]"
231,150458.cif,La3+:0.498 Li1+:0.201 Na1+:0.252 O2-:3.000 Ti4+:1.000,Li1,4.0,1.0,2,1,0.0,"[180.0, 180.0, 90.0, 90.0, 90.0, 90.0]"
231,100499.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si2,4.0,4.0,3,4,0.021,"[112.513, 112.092, 110.941, 109.263, 105.998, 105.926]"
235,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,Li1,4.0,1.0,2,1,0.015,"[116.507, 115.455, 109.518, 106.123, 105.1, 104.407]"
235,100500.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al2,4.0,3.0,3,3,0.022,"[112.88, 112.037, 110.892, 109.153, 106.045, 105.736]"
252,150856.cif,H1+:12.000 Li1+:4.000 O2-:64.000 Rb1+:16.000 S6+:16.000,S1,4.0,6.0,3,6,0.02,"[116.347, 112.532, 110.714, 109.67, 104.064, 103.05]"
252,100501.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al3,4.0,3.0,3,3,0.017,"[112.21, 111.143, 110.904, 108.887, 108.3, 105.135]"
256,150858.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,Li1,4.0,1.0,2,1,0.009,"[117.853, 114.337, 109.348, 106.912, 105.005, 103.562]"
273,150858.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,S1,4.0,6.0,3,6,0.106,"[114.57, 112.47, 109.36, 109.002, 107.11, 103.946]"
277,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,Li1,4.0,1.0,2,1,0.009,"[116.507, 114.639, 110.928, 105.95, 105.7, 103.173]"
277,100502.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si1,4.0,4.0,3,4,0.015,"[113.547, 111.716, 111.494, 109.014, 105.891, 105.04]"
279,100502.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si3,4.0,4.0,3,4,0.013,"[112.092, 111.131, 110.53, 109.117, 108.216, 105.533]"
294,150859.cif,H1+:12.000 K1+:16.000 Li1+:4.000 O2-:64.000 S6+:16.000,S1,4.0,6.0,3,6,0.125,"[114.841, 112.476, 109.95, 108.675, 106.308, 104.075]"
294,100504.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Al1,4.0,3.0,3,3,0.023,"[113.347, 111.981, 111.87, 109.336, 105.486, 104.62]"
304,15111.cif,Eu2+:8.000 Eu3+:4.000 Li1+:4.000 O2-:16.000,Li1,4.0,1.0,2,1,0.037,"[115.677, 112.687, 112.687, 108.584, 102.991, 102.991]"
306,151435.cif,Cr6+:2.000 Li1+:14.000 N3-:8.000 O2-:1.000,Cr1,4.0,6.0,4,6,0.072,"[113.409, 113.403, 113.403, 105.278, 105.272, 105.254]"
306,100504.cif,Al3+:4.000 Na1+:4.000 O2-:32.000 Si4+:12.000,Si1,4.0,4.0,3,4,0.023,"[113.347, 111.981, 111.87, 109.336, 105.486, 104.62]"
307,151435.cif,Cr6+:2.000 Li1+:14.000 N3-:8.000 O2-:1.000,Li1,4.0,1.0,2,1,0.02,"[137.902, 109.676, 107.314, 106.475, 102.985, 86.273]"
